Parameter,FoldChange,ViralCycleTime,DidNotComplete,Error
k_TMP,0.001,19.190950775246463,False,
k_TMP,0.003,12.51673736108743,False,
k_TMP,0.01,9.265275926693208,False,
k_TMP,0.03,7.700127369649813,False,
k_TMP,0.1,6.785066441354125,False,
k_TMP,0.3,6.41290416113049,False,
k_TMP,1.0,6.269963466516641,False,
k_TMP,3.0,6.228099908469328,False,
k_TMP,10.0,6.213190077540366,False,
k_TMP,30.0,6.208898306558014,False,
k_TMP,100.0,6.207392683971545,False,
k_TMP,300.0,6.206962170392614,False,
k_TMP,1000.0,6.206811441574962,False,

k_Rel,0.001,17.786555955002978,False,
k_Rel,0.003,11.976377812829913,False,
k_Rel,0.01,9.00229567800233,False,
k_Rel,0.03,7.5566790070471255,False,
k_Rel,0.1,6.72144203545779,False,
k_Rel,0.3,6.393455474203898,False,
k_Rel,1.0,6.269963466516641,False,
k_Rel,3.0,6.23382418779305,False,
k_Rel,10.0,6.220978515013928,False,
k_Rel,30.0,6.217285392475834,False,
k_Rel,100.0,6.215990303496665,False,
k_Rel,300.0,6.215620034850224,False,
k_Rel,1000.0,6.215489437436155,False,

k_UC,0.001,17.79540613267482,False,
k_UC,0.003,11.920760200820828,False,
k_UC,0.01,9.002295678000845,False,
k_UC,0.03,7.5566790070476175,False,
k_UC,0.1,6.721442035457736,False,
k_UC,0.3,6.393455474203884,False,
k_UC,1.0,6.269963466516641,False,
k_UC,3.0,6.233824187793019,False,
k_UC,10.0,6.220978515013933,False,
k_UC,30.0,6.217285392475876,False,
k_UC,100.0,6.215990303496737,False,
k_UC,300.0,6.215620036146548,False,
k_UC,1000.0,6.2154904721050235,False,

k_Rib_on,0.001,48.0,True,
k_Rib_on,0.003,48.0,True,
k_Rib_on,0.01,48.0,True,
k_Rib_on,0.03,48.0,True,
k_Rib_on,0.1,9.552577137597414,False,
k_Rib_on,0.3,6.927989799269308,False,
k_Rib_on,1.0,6.269963466516641,False,
k_Rib_on,3.0,6.320775766121497,False,
k_Rib_on,10.0,6.633005978967044,False,
k_Rib_on,30.0,7.420898156142006,False,
k_Rib_on,100.0,10.872956304955306,False,

k_Rib_Step,0.1,38.11185187651963,False,
k_Rib_Step,0.3,14.327498101407564,False,
k_Rib_Step,1.0,6.220978515013933,False,
k_Rib_Step,3.0,3.615171473638772,False,
k_Rib_Step,10.0,2.4305598943369104,False,
k_Rib_Step,30.0,1.9156308762333156,False,
k_Rib_Step,100.0,1.6062528911820495,False,
k_Rib_Step,300.0,1.447329782657896,False,

k_Cleav,0.3,18.075316890523883,False,
k_Cleav,1.0,17.786555955002978,False,
k_Cleav,3.0,17.702877990439024,False,
k_Cleav,10.0,17.6734600989046,False,
k_Cleav,30.0,17.66505761040113,False,
k_Cleav,100.0,17.662202707130092,False,
k_Cleav,300.0,17.66099196277889,False,
k_Cleav,1000.0,11.850710187117969,False,

h_pp1,0.001,11.885078693539832,False,
h_pp1,0.003,11.862152763974612,False,
h_pp1,0.01,11.854119839051972,False,
h_pp1,0.03,11.85182386884806,False,
h_pp1,0.1,11.851020189941673,False,
h_pp1,0.3,11.850790558882807,False,
h_pp1,1.0,6.269963466516641,False,
h_pp1,3.0,6.263456739816625,False,
h_pp1,10.0,6.261176626689752,False,
h_pp1,30.0,6.260524901888643,False,
h_pp1,100.0,6.2602967703939205,False,
h_pp1,300.0,6.26023158734757,False,
h_pp1,1000.0,6.260208773012989,False,

k_RdRp_on,0.001,48.0,True,
k_RdRp_on,0.003,48.0,True,
k_RdRp_on,0.01,48.0,True,
k_RdRp_on,0.03,48.0,True,
k_RdRp_on,0.1,48.0,True,
k_RdRp_on,0.3,48.0,True,
k_RdRp_on,1.0,48.0,True,
k_RdRp_on,3.0,5.375356627662885,False,
k_RdRp_on,10.0,4.851618792595991,False,
k_RdRp_on,30.0,4.567793200803729,False,

h_RdRp,10.0,14.460172385060833,False,
h_RdRp,30.0,14.27273108272247,False,
h_RdRp,100.0,14.208456380844193,False,
h_RdRp,300.0,14.19021664766998,False,
h_RdRp,1000.0,14.183845734982981,False,

k_RdRp_Step,0.001,48.0,True,
k_RdRp_Step,0.003,48.0,True,
k_RdRp_Step,30.0,48.0,True,
k_Rib_Step,1000.0,1.321750985029815,False,

k_NCap,0.03,11.917980891991267,False,
k_NCap,0.1,11.866181492201095,False,
k_NCap,0.3,11.854890224456208,False,
k_NCap,1.0,11.850790558882807,False,
k_NCap,3.0,11.849402218058044,False,
k_NCap,10.0,11.848777860107456,False,
k_NCap,100.0,48.0,True,
